Empreendimento,Unidade,Tipo,Área Privativa (m²),Situação,Valor VGV,Valor m²,Chave
CORAL GABLES,Apartamento1302,3S,"132,27",Vendida,"R$ 1.880.214,22","R$ 14.214,97",
EMERALD COAST,Apto. 1402,3S,"145,28",Vendida,"R$ 2.535.875,67","R$ 17.455,09",
EMERALD COAST,Apto. 2404,3S,"83,11",Vendida,"R$ 1.336.791,87","R$ 16.084,61",
EMERALD COAST,Apto. 604,3S,"83,11",Vendida,"R$ 1.100.998,77","R$ 13.247,49",
OCEAN PARK,Apto 1803 N,3S,"78,91",Vendida,"R$ 1.034.396,98","R$ 13.108,57",
OCEAN PARK,Apto 701 N,3S,"121,37",Vendida,"R$ 1.453.480,00","R$ 11.975,61",
OCEAN PARK,Apto 802 N,3S,"122,55",Vendida,"R$ 1.443.456,00","R$ 11.778,51",
SUNSET TOWER,Apartamento1401,3S,"126,57",Vendida,"R$ 2.305.520,00","R$ 18.215,37",
CORAL GABLES,Apartamento2801,2S,"206,17",Vendida,"R$ 3.851.185,95","R$ 18.679,66",
OCEAN PARK,Apto 2304 S,3S,"82,29",Vendida,"R$ 1.042.956,98","R$ 12.674,16",
EMERALD COAST,Apto. 1502,3S,"145,28",Vendida,"R$ 2.551.247,01","R$ 17.560,90",
PARADISE BAY,Apto 1402,3S,"122,21",Vendida,"R$ 1.653.960,00","R$ 13.533,75",
OCEAN PARK,Apto 1004 S,3S,"82,29",Vendida,"R$ 967.818,41","R$ 11.761,07",
EMERALD COAST,Apto. 902,2S,"145,28",Vendida,"R$ 2.408.282,47","R$ 16.576,83",
BLUE COAST,Apartamento 3103,3S,"131,52",Vendida,"R$ 2.214.244,12","R$ 16.835,80",
BLUE COAST,Apartamento 3001,3S,"131,99",Vendida,"R$ 2.146.369,44","R$ 16.261,61",
CORAL GABLES,Apartamento1502,3S,"132,27",Vendida,"R$ 2.046.191,92","R$ 15.469,81",
PARADISE BAY,Apto 1105,3S,"81,53",Vendida,"R$ 959.703,57","R$ 11.771,17",
EMERALD COAST,Apto. 1301,3S,"147,13",Vendida,"R$ 2.576.232,06","R$ 17.509,90",
EMERALD COAST,Apto. 2004,3S,"83,11",Vendida,"R$ 1.379.035,45","R$ 16.592,89",
ROYAL BAY,Apto. 1303,2S,"132,52",Vendida,"R$ 1.674.311,31","R$ 12.634,40",
ROYAL BAY,Apto. 1403,3S,"132,52",Vendida,"R$ 1.625.980,01","R$ 12.269,70",
ROYAL BAY,Apto. 1503,3S,"132,52",Vendida,"R$ 1.738.873,30","R$ 13.121,59",
EMERALD COAST,Apto. 901,3S,"147,13",Vendida,"R$ 2.453.262,24","R$ 16.674,11",
OCEAN PARK,Apto 2105 S,3S,"80,91",Vendida,"R$ 1.093.088,81","R$ 13.509,93",
ROYAL BAY,Apto. 2502,3S,"138,06",Vendida,"R$ 2.222.002,36","R$ 16.094,47",
ROYAL BAY,Apto. 1401,3S,"132,14",Vendida,"R$ 1.806.797,08","R$ 13.673,35",
ROYAL BAY,Apto. 1402,3S,"138,06",Vendida,"R$ 1.942.150,00","R$ 14.067,43",
ROYAL BAY,Apto. 1903,3S,"132,52",Vendida,"R$ 1.848.134,90","R$ 13.946,08",
ROYAL BAY,Apto. 2301,3S,"132,14",Vendida,"R$ 1.968.452,27","R$ 14.896,72",
ROYAL BAY,Apto. 3801,3S,"132,14",Vendida,"R$ 2.229.069,36","R$ 16.869,00",
ROYAL BAY,Apto. 1003,3S,"132,52",Vendida,"R$ 1.649.445,71","R$ 12.446,77",
ROYAL BAY,Apto. 1103,3S,"132,52",Vendida,"R$ 1.657.692,94","R$ 12.509,00",
ROYAL BAY,Apto. 1901,Garden,"132,14",Vendida,"R$ 1.854.644,69","R$ 14.035,45",
ROYAL BAY,Apto. 2001,3S,"132,14",Vendida,"R$ 1.882.464,36","R$ 14.245,98",
ROYAL BAY,Apto. 2002,3S,"138,06",Vendida,"R$ 2.016.026,88","R$ 14.602,54",
